SGE,CATEGORIA,POTENCIA_ATUAL,POTENCIA_FUTURA,DATA_PEDIDO_SEINF
410,climatizada,,,
249,climatizada,,,
164,nova,,"112,5 KVA",17/03/2026
107,nova,,"112,5 KVA",17/03/2026
344,climatizada,,,
275,climatizada,75 KVA,,
276,nova,,"112,5 KVA",17/03/2026
311,climatizada,75 KVA,,
109,nova,,"112,5 KVA",17/03/2026
355,climatizada,150 KVA,,
287,aumento,75 KVA,"112,5 KVA",
979,climatizada,150 KVA,,
572,climatizada,,,
125,nova,,"112,5 KVA",17/03/2026
833,climatizada,150 KVA,,
839,climatizada,150 KVA,,
991,climatizada,75 KVA,,
829,climatizada,150 KVA,,
980,climatizada,150 KVA,,
1034,climatizada,75 KVA,,
837,climatizada,150 KVA,,
824,climatizada,150 KVA,,
798,climatizada,150 KVA,,
955,climatizada,150 KVA,,
826,climatizada,150 KVA,,
957,climatizada,150 KVA,,
382,climatizada,150 KVA,,
916,climatizada,75 KVA,,
809,climatizada,150 KVA,,
117,climatizada,,,
1036,climatizada,150 KVA,,
108,climatizada,,,
917,climatizada,75 KVA,,
364,climatizada,,,
239,nova,,"112,5 KVA",17/03/2026
166,climatizada,75 KVA,,
221,climatizada,,,
1190,climatizada,,,
1149,climatizada,75 KVA,,
264,climatizada,,,
141,climatizada,150 KVA,,
1016,climatizada,150 KVA,,
1032,climatizada,150 KVA,,
300,aumento,75 KVA,"112,5 KVA",
155,climatizada,,,
1183,climatizada,,,
856,climatizada,150 KVA,,
177,climatizada,"112,5 KVA",,
430,climatizada,,,
81,nova,,"112,5 KVA",17/03/2026
486,climatizada,,,
1037,climatizada,75 KVA,,
1033,climatizada,150 KVA,,
981,climatizada,75 KVA,,
1181,climatizada,75 KVA,,
1106,climatizada,150 KVA,,
1109,climatizada,75 KVA,,
87,nova,,"112,5 KVA",17/03/2026
206,nova,,"112,5 KVA",17/03/2026
1108,climatizada,75 KVA,,
1118,climatizada,150 KVA,,
986,climatizada,150 KVA,,
989,climatizada,75 KVA,,
1038,climatizada,75 KVA,,
1107,climatizada,75 KVA,,
1110,climatizada,75 KVA,,
323,nova,,"112,5 KVA",17/03/2026
963,climatizada,150 KVA,,
990,climatizada,150 KVA,,
832,climatizada,150 KVA,,
983,climatizada,150 KVA,,
1035,climatizada,75 KVA,,
831,climatizada,150 KVA,,
962,climatizada,150 KVA,,
982,climatizada,150 KVA,,
988,climatizada,150 KVA,,
153,nova,,"112,5 KVA",17/03/2026
258,nova,,"112,5 KVA",17/03/2026
958,climatizada,150 KVA,,
1117,climatizada,75 KVA,,
134,nova,,150 KVA,17/03/2026
115,climatizada,75 KVA,,
378,falta_estudo,,,
381,falta_estudo,,,
383,falta_estudo,,,
384,falta_estudo,,,
388,falta_estudo,,,
389,falta_estudo,,,
390,falta_estudo,,,
391,falta_estudo,,,
395,falta_estudo,75 KVA,,
400,falta_estudo,,,
401,falta_estudo,,,
405,falta_estudo,,,
406,falta_estudo,,,
408,falta_estudo,,,
411,falta_estudo,,,
412,falta_estudo,,,
413,falta_estudo,,,
416,liberada,,,
417,falta_estudo,,,
418,falta_estudo,,,
422,falta_estudo,,,
423,falta_estudo,,,
424,falta_estudo,,,
425,falta_estudo,,,
426,falta_estudo,,,
427,falta_estudo,,,
435,falta_estudo,,,
436,falta_estudo,,,
439,falta_estudo,,,
440,falta_estudo,,,
441,falta_estudo,,,
444,falta_estudo,,,
445,falta_estudo,,,
449,falta_estudo,,,
450,falta_estudo,,,
451,falta_estudo,,,
454,falta_estudo,,,
456,liberada,,,
458,falta_estudo,,,
459,falta_estudo,,,
460,liberada,,,
461,falta_estudo,,,
464,falta_estudo,,,
465,falta_estudo,,,
466,falta_estudo,,,
468,falta_estudo,,,
470,liberada,,,
473,falta_estudo,150 KVA,,
479,falta_estudo,,,
483,falta_estudo,,,
487,falta_estudo,,,
489,liberada,,,
490,falta_estudo,,,
492,falta_estudo,,,
504,falta_estudo,,,
1292,falta_estudo,,,
105,climatizada,150 KVA,,
118,climatizada,150 KVA,,
152,climatizada,,,
167,climatizada,75 KVA,,
172,climatizada,,,
179,climatizada,,,
190,climatizada,,,
191,climatizada,150 KVA,,
201,climatizada,"112,5 KVA",,
207,climatizada,,,
217,climatizada,,,
218,climatizada,,,
219,climatizada,,,
229,climatizada,,,
236,climatizada,150 KVA,,
244,climatizada,,,
245,climatizada,"112,5 KVA",,
261,climatizada,,,
270,climatizada,75 KVA,,
274,climatizada,75 KVA,,
279,climatizada,225 KVA,,
286,climatizada,,,
289,climatizada,,,
294,climatizada,"112,5 KVA",,
296,climatizada,,,
299,climatizada,,,
302,climatizada,,,
316,climatizada,150 KVA,,
322,climatizada,150 KVA,,
327,climatizada,,,
329,climatizada,,,
343,climatizada,,,
347,climatizada,,,
350,climatizada,,,
361,climatizada,,,
367,climatizada,150 KVA,,
373,climatizada,,,
446,climatizada,,,
500,climatizada,,,
503,climatizada,,,
581,climatizada,,,
622,climatizada,,,
762,climatizada,,,
768,climatizada,225 KVA,,
769,climatizada,225 KVA,,
783,climatizada,150 KVA,,
797,climatizada,225 KVA,,
836,climatizada,"112,50 KVA",,
838,climatizada,225 KVA,,
871,climatizada,225 KVA,,
879,climatizada,,,
937,climatizada,225 KVA,,
941,climatizada,225 KVA,,
944,climatizada,225 KVA,,
945,climatizada,225 KVA,,
956,climatizada,225 KVA,,
985,climatizada,225 KVA,,
987,climatizada,225 KVA,,
1014,climatizada,225 KVA,,
1015,climatizada,75 KVA,,
1017,climatizada,225 KVA,,
1039,climatizada,225 KVA,,
1040,climatizada,225 KVA,,
1111,climatizada,225 KVA,,
1112,climatizada,225 KVA,,
1113,climatizada,225 KVA,,
1115,climatizada,225 KVA,,
1116,climatizada,225 KVA,,
1119,climatizada,225 KVA,,
1171,climatizada,225 KVA,,
1172,climatizada,225 KVA,,
1188,climatizada,225 KVA,,
136,climatizada,75 KVA,,
303,climatizada,"112,5 KVA",,
1182,climatizada,75 KVA,,
1187,climatizada,75 KVA,,
1290,climatizada,,,
1291,climatizada,,,
1317,climatizada,,,
82,nova,,150 KVA,17/03/2026
83,nova,,"112,5 KVA",17/03/2026
86,nova,,150 KVA,17/03/2026
90,falta_estudo,,,
91,falta_estudo,,,
93,falta_estudo,,,
96,nova,,225 KVA,17/03/2026
99,falta_estudo,,,
102,falta_estudo,,,
103,nova,,225 KVA,17/03/2026
106,falta_estudo,,,
111,falta_estudo,,,
114,falta_estudo,,,
116,nova,,150 KVA,17/03/2026
119,falta_estudo,,,
120,falta_estudo,,,
121,falta_estudo,,,
123,falta_estudo,,,
124,falta_estudo,,,
126,nova,,225 KVA,17/03/2026
127,falta_estudo,,,
128,falta_estudo,,,
129,liberada,,,
130,falta_estudo,,,
131,falta_estudo,,,
132,falta_estudo,,,
133,falta_estudo,,,
137,falta_estudo,,,
138,falta_estudo,,,
142,falta_estudo,,,
143,liberada,,,
147,falta_estudo,,,
149,falta_estudo,,,
154,falta_estudo,,,
156,nova,,225 KVA,17/03/2026
157,falta_estudo,,,
158,falta_estudo,,,
159,aumento,75 KVA,150 KVA,
160,falta_estudo,,,
161,falta_estudo,,,
165,aumento,75 KVA,"112,5 KVA",
168,liberada,,,
170,falta_estudo,,,
171,nova,,225 KVA,17/03/2026
173,nova,,"112,5 KVA",17/03/2026
174,nova,,225 KVA,17/03/2026
175,falta_estudo,,,
178,falta_estudo,,,
180,aumento,75 KVA,225 KVA,
181,falta_estudo,,,
182,falta_estudo,150 KVA,,
185,nova,,"112,5 KVA",17/03/2026
187,falta_estudo,,,
135,falta_estudo,150 KVA,,
184,falta_estudo,,,
212,falta_estudo,,,
252,nova,,150 KVA,17/03/2026
253,aumento,75 KVA,150 KVA,
292,falta_estudo,,,
330,nova,,150 KVA,17/03/2026
499,liberada,,,
784,nova,,150 KVA,17/03/2026
98,aumento,150 KVA,150 KVA,
104,liberada,,,
122,nova,,225 KVA,17/03/2026
192,aumento,75 KVA,150 KVA,
324,liberada,,,
491,liberada,,,
257,liberada,,,
243,nova,,"112,5 KVA",17/03/2026
278,nova,,"112,5 KVA",17/03/2026
101,liberada,"112,5 KVA",,
139,liberada,,,
144,liberada,,,
150,liberada,,,
198,aumento,"112,5 KVA",225 KVA,
259,liberada,,,
307,aumento,"112,5 KVA",150KVA,
348,nova,,150 KVA,17/03/2026
358,nova,,150 KVA,17/03/2026
188,falta_estudo,,,
189,aumento,75 KVA,150 KVA,
193,aumento,75 KVA,150 KVA,
196,aumento,75 KVA,150 KVA,
197,nova,,225 KVA,17/03/2026
199,falta_estudo,,,
200,nova,,225 KVA,17/03/2026
203,nova,,225 KVA,17/03/2026
204,nova,,150 KVA,17/03/2026
205,falta_estudo,,,
208,nova,,150 KVA,17/03/2026
209,falta_estudo,,,
213,falta_estudo,,,
214,falta_estudo,,,
216,falta_estudo,,,
222,nova,,"112,5 KVA",17/03/2026
223,nova,,150 KVA,17/03/2026
224,nova,,"112,5 KVA",17/03/2026
225,falta_estudo,,,
226,falta_estudo,,,
227,nova,,150 KVA,17/03/2026
230,nova,,150 KVA,17/03/2026
231,falta_estudo,,,
232,falta_estudo,,,
233,falta_estudo,,,
234,nova,,225 KVA,17/03/2026
237,falta_estudo,,,
238,falta_estudo,,,
240,nova,,"112,5 KVA",17/03/2026
241,falta_estudo,,,
246,nova,,150 KVA,17/03/2026
247,falta_estudo,,,
248,falta_estudo,,,
250,falta_estudo,,,
251,falta_estudo,,,
254,liberada,,,
255,falta_estudo,,,
256,falta_estudo,,,
260,aumento,75 KVA,150KVA,
262,nova,,"112,5 KVA",17/03/2026
263,falta_estudo,,,
265,falta_estudo,,,
266,falta_estudo,,,
267,falta_estudo,,,
268,nova,,"112,5 KVA",17/03/2026
269,liberada,,,
271,falta_estudo,,,
272,falta_estudo,,,
273,falta_estudo,,,
277,nova,,150 KVA,17/03/2026
282,falta_estudo,,,
284,falta_estudo,,,
285,falta_estudo,,,
288,falta_estudo,,,
290,liberada,,,
295,falta_estudo,,,
297,falta_estudo,,,
304,nova,,150 KVA,17/03/2026
308,nova,,"112,5 KVA",17/03/2026
309,falta_estudo,,,
310,falta_estudo,,,
312,aumento,75 KVA,225 KVA,
313,nova,,225 KVA,17/03/2026
314,nova,,150 KVA,17/03/2026
315,nova,,150 KVA,17/03/2026
317,falta_estudo,,,
319,falta_estudo,,,
320,aumento,"112,5 KVA",150 KVA,
321,falta_estudo,,,
325,falta_estudo,,,
326,falta_estudo,,,
328,falta_estudo,,,
331,nova,,"112,5 KVA",17/03/2026
333,falta_estudo,,,
336,nova,,150 KVA,17/03/2026
337,nova,,"112,5 KVA",17/03/2026
339,falta_estudo,,,
340,nova,,225 KVA,17/03/2026
342,falta_estudo,,,
345,aumento,75 KVA,225 KVA,
346,falta_estudo,,,
349,liberada,,,
351,falta_estudo,,,
353,nova,,"112,5 KVA",17/03/2026
354,falta_estudo,,,
357,falta_estudo,,,
360,falta_estudo,,,
362,nova,,"112,5 KVA",17/03/2026
366,falta_estudo,,,
375,falta_estudo,75 KVA,,
376,falta_estudo,,,
380,falta_estudo,,,
394,liberada,,,
396,liberada,,,
398,falta_estudo,,,
399,liberada,,,
402,falta_estudo,,,
403,liberada,,,
409,liberada,,,
421,falta_estudo,,,
429,liberada,,,
432,falta_estudo,,,
433,liberada,,,
434,liberada,,,
437,liberada,,,
442,falta_estudo,,,
447,liberada,,,
469,falta_estudo,,,
471,falta_estudo,,,
472,falta_estudo,,,
474,falta_estudo,,,
475,falta_estudo,,,
477,falta_estudo,,,
478,falta_estudo,,,
481,liberada,,,
482,falta_estudo,,,
485,liberada,,,
495,falta_estudo,,,
496,falta_estudo,,,
497,falta_estudo,,,
505,falta_estudo,,,
766,falta_estudo,,,
779,liberada,,,
787,falta_estudo,,,
789,falta_estudo,,,
791,falta_estudo,,,
819,falta_estudo,,,
874,falta_estudo,,,
887,falta_estudo,,,
888,falta_estudo,,,
890,falta_estudo,,,
891,falta_estudo,,,
942,liberada,,,
943,liberada,,,
1168,falta_estudo,,,
1289,falta_estudo,,,
1293,falta_estudo,,,
1363,falta_estudo,,,
291,nova,,150 KVA,17/03/2026
1320,climatizada,,,
397,liberada,,,
498,liberada,,,
407,liberada,,,
467,liberada,,,
368,liberada,,,
501,liberada,,,
978,liberada,,,
370,liberada,,,
371,liberada,,,
369,liberada,,,
438,liberada,,,
374,liberada,,,
431,liberada,,,
827,liberada,,,
215,falta_estudo,,,
387,liberada,,,
851,liberada,,,
946,liberada,,,
977,liberada,,,
281,liberada,,,
781,liberada,,,
788,liberada,,,
767,liberada,,,
140,liberada,,,
338,nova,,"112,5 KVA",17/03/2026
859,liberada,,,
235,nova,,"112,5 KVA",17/03/2026
404,liberada,,,
835,liberada,,,
341,nova,,"112,5 KVA",17/03/2026
183,climatizada,,,
861,liberada,,,
89,liberada,"112,5 KVA",,
763,liberada,,,
145,liberada,,,
332,liberada,,,
318,liberada,,,
457,liberada,,,
858,liberada,,,
151,nova,,"112,5 KVA",17/03/2026
146,nova,,"112,5 KVA",17/03/2026
702,liberada,,,
176,liberada,,,
301,liberada,,,
95,aumento,75 KVA,"112,5 KVA",
602,liberada,,,
305,nova,,150 KVA,17/03/2026
186,nova,,"112,5 KVA",17/03/2026
211,liberada,,,
283,liberada,,,
857,liberada,,,
88,liberada,,,
372,liberada,,,
293,aumento,75 KVA,150 KVA,
210,nova,,"112,5 KVA",17/03/2026
242,liberada,,,
97,liberada,,,
415,liberada,,,
195,aumento,75 KVA,"112,5 KVA",
194,aumento,75 KVA,"112,5 KVA",
365,aumento,75 KVA,150 KVA,
228,liberada,,,
334,aumento,"112,5 KVA",150 KVA,
359,nova,75 KVA,225 KVA,17/03/2026
110,liberada,,,
220,aumento,75 KVA,"112,5 KVA",
112,liberada,150 KVA,,
113,aumento,75 KVA,225 KVA,
85,liberada,,,
488,liberada,,,
100,nova,,"112,5 KVA",17/03/2026
162,nova,,"112,5 KVA",17/03/2026
356,liberada,150 KVA,,
148,liberada,150 KVA,,
163,falta_estudo,,,
