SGE,POSSUI_SUBESTACAO,POTENCIA_ATUAL,NECESSITA_SUBESTACAO,POTENCIA_FUTURA,DATA_SOLICITACAO,ESTUDO_ELETRICO
410,NÃO,,NAO,,,TEM
249,NÃO,,NAO,,,TEM
164,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
107,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
344,NÃO,,NAO,,,TEM
275,SIM,75 KVA,NAO,,,TEM
276,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
311,SIM,75 KVA,NAO,,,TEM
109,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
355,SIM,150 KVA,NAO,,,TEM
287,SIM,75 KVA,AUMENTO,"112,5 KVA",,TEM
979,SIM,150 KVA,NAO,,,TEM
572,NÃO,,NAO,,,TEM
125,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
833,SIM,150 KVA,NAO,,,TEM
839,SIM,150 KVA,NAO,,,TEM
991,SIM,75 KVA,NAO,,,TEM
829,SIM,150 KVA,NAO,,,TEM
980,SIM,150 KVA,NAO,,,TEM
1034,SIM,75 KVA,NAO,,,TEM
837,SIM,150 KVA,NAO,,,TEM
824,SIM,150 KVA,NAO,,,TEM
798,SIM,150 KVA,NAO,,,TEM
955,SIM,150 KVA,NAO,,,TEM
826,SIM,150 KVA,NAO,,,TEM
957,SIM,150 KVA,NAO,,,TEM
382,SIM,150 KVA,NAO,,,TEM
916,SIM,75 KVA,NAO,,,TEM
809,SIM,150 KVA,NAO,,,TEM
117,NÃO,,NAO,,,TEM
1036,SIM,150 KVA,NAO,,,TEM
108,NÃO,,NAO,,,TEM
917,SIM,75 KVA,NAO,,,TEM
364,NÃO,,NAO,,,TEM
239,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
166,SIM,75 KVA,NAO,,,TEM
221,NÃO,,NAO,,,TEM
1190,NÃO,,NAO,,,TEM
1149,SIM,75 KVA,NAO,,,TEM
264,NÃO,,NAO,,,TEM
141,SIM,150 KVA,NAO,,,TEM
1016,SIM,150 KVA,NAO,,,TEM
1032,SIM,150 KVA,NAO,,,TEM
300,SIM,75 KVA,AUMENTO,"112,5 KVA",,TEM
155,NÃO,,NAO,,,TEM
1183,SIM,,NAO,,,TEM
856,SIM,150 KVA,NAO,,,TEM
177,SIM,"112,5 KVA",NAO,,,TEM
430,NÃO,,NAO,,,TEM
81,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
486,NÃO,,NAO,,,TEM
1037,SIM,75 KVA,NAO,,,TEM
1033,SIM,150 KVA,NAO,,,TEM
981,SIM,75 KVA,NAO,,,TEM
1181,SIM,75 KVA,NAO,,,TEM
1106,SIM,150 KVA,NAO,,,TEM
1109,SIM,75 KVA,NAO,,,TEM
87,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
206,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
1108,SIM,75 KVA,NAO,,,TEM
1118,SIM,150 KVA,NAO,,,TEM
986,SIM,150 KVA,NAO,,,TEM
989,SIM,75 KVA,NAO,,,TEM
1038,SIM,75 KVA,NAO,,,TEM
1107,SIM,75 KVA,NAO,,,TEM
1110,SIM,75 KVA,NAO,,,TEM
323,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
963,SIM,150 KVA,NAO,,,TEM
990,SIM,150 KVA,NAO,,,TEM
832,SIM,150 KVA,NAO,,,TEM
983,SIM,150 KVA,NAO,,,TEM
1035,SIM,75 KVA,NAO,,,TEM
831,SIM,150 KVA,NAO,,,TEM
962,SIM,150 KVA,NAO,,,TEM
982,SIM,150 KVA,NAO,,,TEM
988,SIM,150 KVA,NAO,,,TEM
153,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
258,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
958,SIM,150 KVA,NAO,,,TEM
1117,SIM,75 KVA,NAO,,,TEM
134,NÃO,,NOVA,150 KVA,17/03/2026,TEM
115,SIM,75 KVA,NAO,,,TEM
378,NÃO,,NAO,,,FALTA
381,NÃO,,NAO,,,FALTA
383,NÃO,,NAO,,,FALTA
384,NÃO,,NAO,,,FALTA
388,NÃO,,NAO,,,FALTA
389,NÃO,,NAO,,,FALTA
390,NÃO,,NAO,,,FALTA
391,NÃO,,NAO,,,FALTA
395,SIM,75 KVA,NAO,,,FALTA
400,NÃO,,NAO,,,FALTA
401,NÃO,,NAO,,,FALTA
405,NÃO,,NAO,,,FALTA
406,NÃO,,NAO,,,FALTA
408,NÃO,,NAO,,,FALTA
411,NÃO,,NAO,,,FALTA
412,NÃO,,NAO,,,FALTA
413,NÃO,,NAO,,,FALTA
416,NÃO,,NAO,,,TEM
417,NÃO,,NAO,,,FALTA
418,NÃO,,NAO,,,FALTA
422,NÃO,,NAO,,,FALTA
423,NÃO,,NAO,,,FALTA
424,NÃO,,NAO,,,FALTA
425,NÃO,,NAO,,,FALTA
426,NÃO,,NAO,,,FALTA
427,NÃO,,NAO,,,FALTA
435,NÃO,,NAO,,,FALTA
436,NÃO,,NAO,,,FALTA
439,NÃO,,NAO,,,FALTA
440,NÃO,,NAO,,,FALTA
441,NÃO,,NAO,,,FALTA
444,NÃO,,NAO,,,FALTA
445,NÃO,,NAO,,,FALTA
449,NÃO,,NAO,,,FALTA
450,NÃO,,NAO,,,FALTA
451,NÃO,,NAO,,,FALTA
454,NÃO,,NAO,,,FALTA
456,NÃO,,NAO,,,TEM
458,NÃO,,NAO,,,FALTA
459,NÃO,,NAO,,,FALTA
460,NÃO,,NAO,,,TEM
461,NÃO,,NAO,,,FALTA
464,NÃO,,NAO,,,FALTA
465,NÃO,,NAO,,,FALTA
466,NÃO,,NAO,,,FALTA
468,NÃO,,NAO,,,FALTA
470,NÃO,,NAO,,,TEM
473,SIM,150 KVA,NAO,,,FALTA
479,NÃO,,NAO,,,FALTA
483,NÃO,,NAO,,,FALTA
487,NÃO,,NAO,,,FALTA
489,NÃO,,NAO,,,TEM
490,NÃO,,NAO,,,FALTA
492,NÃO,,NAO,,,FALTA
504,NÃO,,NAO,,,FALTA
1292,NÃO,,NAO,,,FALTA
105,SIM,150 KVA,NAO,,,TEM
118,SIM,150 KVA,NAO,,,TEM
152,NÃO,,NAO,,,TEM
167,SIM,75 KVA,NAO,,,TEM
172,NÃO,,NAO,,,TEM
179,NÃO,,NAO,,,TEM
190,NÃO,,NAO,,,TEM
191,SIM,150 KVA,NAO,,,TEM
201,SIM,"112,5 KVA",NAO,,,TEM
207,NÃO,,NAO,,,TEM
217,NÃO,,NAO,,,TEM
218,NÃO,,NAO,,,TEM
219,NÃO,,NAO,,,TEM
229,NÃO,,NAO,,,TEM
236,SIM,150 KVA,NAO,,,TEM
244,NÃO,,NAO,,,TEM
245,SIM,"112,5 KVA",NAO,,,TEM
261,NÃO,,NAO,,,TEM
270,SIM,75 KVA,NAO,,,TEM
274,SIM,75 KVA,NAO,,,TEM
279,SIM,225 KVA,NAO,,,TEM
286,NÃO,,NAO,,,TEM
289,NÃO,,NAO,,,TEM
294,SIM,"112,5 KVA",NAO,,,TEM
296,NÃO,,NAO,,,TEM
299,NÃO,,NAO,,,TEM
302,NÃO,,NAO,,,TEM
316,SIM,150 KVA,NAO,,,TEM
322,SIM,150 KVA,NAO,,,TEM
327,NÃO,,NAO,,,TEM
329,NÃO,,NAO,,,TEM
343,NÃO,,NAO,,,TEM
347,NÃO,,NAO,,,TEM
350,NÃO,,NAO,,,TEM
361,NÃO,,NAO,,,TEM
367,SIM,150 KVA,NAO,,,TEM
373,NÃO,,NAO,,,TEM
446,NÃO,,NAO,,,TEM
500,NÃO,,NAO,,,TEM
503,NÃO,,NAO,,,TEM
581,NÃO,,NAO,,,TEM
622,NÃO,,NAO,,,TEM
762,NÃO,,NAO,,,TEM
768,SIM,225 KVA,NAO,,,TEM
769,SIM,225 KVA,NAO,,,TEM
783,SIM,150 KVA,NAO,,,TEM
797,SIM,225 KVA,NAO,,,TEM
836,SIM,"112,50 KVA",NAO,,,TEM
838,SIM,225 KVA,NAO,,,TEM
871,SIM,225 KVA,NAO,,,TEM
879,NÃO,,NAO,,,TEM
937,SIM,225 KVA,NAO,,,TEM
941,SIM,225 KVA,NAO,,,TEM
944,SIM,225 KVA,NAO,,,TEM
945,SIM,225 KVA,NAO,,,TEM
956,SIM,225 KVA,NAO,,,TEM
985,SIM,225 KVA,NAO,,,TEM
987,SIM,225 KVA,NAO,,,TEM
1014,SIM,225 KVA,NAO,,,TEM
1015,SIM,75 KVA,NAO,,,TEM
1017,SIM,225 KVA,NAO,,,TEM
1039,SIM,225 KVA,NAO,,,TEM
1040,SIM,225 KVA,NAO,,,TEM
1111,SIM,225 KVA,NAO,,,TEM
1112,SIM,225 KVA,NAO,,,TEM
1113,SIM,225 KVA,NAO,,,TEM
1115,SIM,225 KVA,NAO,,,TEM
1116,SIM,225 KVA,NAO,,,TEM
1119,SIM,225 KVA,NAO,,,TEM
1171,SIM,225 KVA,NAO,,,TEM
1172,SIM,225 KVA,NAO,,,TEM
1188,SIM,225 KVA,NAO,,,TEM
136,SIM,75 KVA,NAO,,,TEM
303,SIM,"112,5 KVA",NAO,,,TEM
1182,SIM,75 KVA,NAO,,,TEM
1187,SIM,75 KVA,NAO,,,TEM
1290,NÃO,,NAO,,,TEM
1291,NÃO,,NAO,,,TEM
1317,NÃO,,NAO,,,TEM
82,NÃO,,NOVA,150 KVA,17/03/2026,TEM
83,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
86,NÃO,,NOVA,150 KVA,17/03/2026,TEM
90,NÃO,,NAO,,,FALTA
91,NÃO,,NAO,,,FALTA
93,NÃO,,NAO,,,FALTA
96,NÃO,,NOVA,225 KVA,17/03/2026,TEM
99,NÃO,,NAO,,,FALTA
102,NÃO,,NAO,,,FALTA
103,NÃO,,NOVA,225 KVA,17/03/2026,TEM
106,NÃO,,NAO,,,FALTA
111,NÃO,,NAO,,,FALTA
114,NÃO,,NAO,,,FALTA
116,NÃO,,NOVA,150 KVA,17/03/2026,TEM
119,NÃO,,NAO,,,FALTA
120,NÃO,,NAO,,,FALTA
121,NÃO,,NAO,,,FALTA
123,NÃO,,NAO,,,FALTA
124,NÃO,,NAO,,,FALTA
126,NÃO,,NOVA,225 KVA,17/03/2026,TEM
127,NÃO,,NAO,,,FALTA
128,NÃO,,NAO,,,FALTA
129,NÃO,,NAO,,,TEM
130,NÃO,,NAO,,,FALTA
131,NÃO,,NAO,,,FALTA
132,NÃO,,NAO,,,FALTA
133,NÃO,,NAO,,,FALTA
137,NÃO,,NAO,,,FALTA
138,NÃO,,NAO,,,FALTA
142,NÃO,,NAO,,,FALTA
143,NÃO,,NAO,,,TEM
147,NÃO,,NAO,,,FALTA
149,NÃO,,NAO,,,FALTA
154,NÃO,,NAO,,,FALTA
156,NÃO,,NOVA,225 KVA,17/03/2026,TEM
157,NÃO,,NAO,,,FALTA
158,NÃO,,NAO,,,FALTA
159,SIM,75 KVA,AUMENTO,150 KVA,,TEM
160,NÃO,,NAO,,,FALTA
161,NÃO,,NAO,,,FALTA
165,SIM,75 KVA,AUMENTO,"112,5 KVA",,TEM
168,NÃO,,NAO,,,TEM
170,NÃO,,NAO,,,FALTA
171,NÃO,,NOVA,225 KVA,17/03/2026,TEM
173,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
174,NÃO,,NOVA,225 KVA,17/03/2026,TEM
175,NÃO,,NAO,,,FALTA
178,NÃO,,NAO,,,FALTA
180,SIM,75 KVA,AUMENTO,225 KVA,,TEM
181,NÃO,,NAO,,,FALTA
182,SIM,150 KVA,NAO,,,FALTA
185,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
187,NÃO,,NAO,,,FALTA
135,SIM,150 KVA,NAO,,,FALTA
184,NÃO,,NAO,,,FALTA
212,NÃO,,NAO,,,FALTA
252,NÃO,,NOVA,150 KVA,17/03/2026,TEM
253,SIM,75 KVA,AUMENTO,150 KVA,,TEM
292,NÃO,,NAO,,,FALTA
330,NÃO,,NOVA,150 KVA,17/03/2026,TEM
499,NÃO,,NAO,,,TEM
784,NÃO,,NOVA,150 KVA,17/03/2026,TEM
98,SIM,150 KVA,AUMENTO,150 KVA,,TEM
104,NÃO,,NAO,,,TEM
122,NÃO,,NOVA,225 KVA,17/03/2026,TEM
192,SIM,75 KVA,AUMENTO,150 KVA,,TEM
324,NÃO,,NAO,,,TEM
491,NÃO,,NAO,,,TEM
257,NÃO,,NAO,,,TEM
243,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
278,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
101,SIM,"112,5 KVA",NAO,,,TEM
139,NÃO,,NAO,,,TEM
144,NÃO,,NAO,,,TEM
150,NÃO,,NAO,,,TEM
198,SIM,"112,5 KVA",AUMENTO,225 KVA,,TEM
259,NÃO,,NAO,,,TEM
307,SIM,"112,5 KVA",AUMENTO,150KVA,,TEM
348,NÃO,,NOVA,150 KVA,17/03/2026,TEM
358,NÃO,,NOVA,150 KVA,17/03/2026,TEM
188,NÃO,,NAO,,,FALTA
189,SIM,75 KVA,AUMENTO,150 KVA,,TEM
193,SIM,75 KVA,AUMENTO,150 KVA,,TEM
196,SIM,75 KVA,AUMENTO,150 KVA,,TEM
197,NÃO,,NOVA,225 KVA,17/03/2026,TEM
199,NÃO,,NAO,,,FALTA
200,NÃO,,NOVA,225 KVA,17/03/2026,TEM
203,NÃO,,NOVA,225 KVA,17/03/2026,TEM
204,NÃO,,NOVA,150 KVA,17/03/2026,TEM
205,NÃO,,NAO,,,FALTA
208,NÃO,,NOVA,150 KVA,17/03/2026,TEM
209,NÃO,,NAO,,,FALTA
213,NÃO,,NAO,,,FALTA
214,NÃO,,NAO,,,FALTA
216,NÃO,,NAO,,,FALTA
222,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
223,NÃO,,NOVA,150 KVA,17/03/2026,TEM
224,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
225,NÃO,,NAO,,,FALTA
226,NÃO,,NAO,,,FALTA
227,NÃO,,NOVA,150 KVA,17/03/2026,TEM
230,NÃO,,NOVA,150 KVA,17/03/2026,TEM
231,NÃO,,NAO,,,FALTA
232,NÃO,,NAO,,,FALTA
233,NÃO,,NAO,,,FALTA
234,NÃO,,NOVA,225 KVA,17/03/2026,TEM
237,NÃO,,NAO,,,FALTA
238,NÃO,,NAO,,,FALTA
240,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
241,NÃO,,NAO,,,FALTA
246,NÃO,,NOVA,150 KVA,17/03/2026,TEM
247,NÃO,,NAO,,,FALTA
248,NÃO,,NAO,,,FALTA
250,NÃO,,NAO,,,FALTA
251,NÃO,,NAO,,,FALTA
254,NÃO,,NAO,,,TEM
255,NÃO,,NAO,,,FALTA
256,NÃO,,NAO,,,FALTA
260,SIM,75 KVA,AUMENTO,150KVA,,TEM
262,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
263,NÃO,,NAO,,,FALTA
265,NÃO,,NAO,,,FALTA
266,NÃO,,NAO,,,FALTA
267,NÃO,,NAO,,,FALTA
268,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
269,NÃO,,NAO,,,TEM
271,NÃO,,NAO,,,FALTA
272,NÃO,,NAO,,,FALTA
273,NÃO,,NAO,,,FALTA
277,NÃO,,NOVA,150 KVA,17/03/2026,TEM
282,NÃO,,NAO,,,FALTA
284,NÃO,,NAO,,,FALTA
285,NÃO,,NAO,,,FALTA
288,NÃO,,NAO,,,FALTA
290,NÃO,,NAO,,,TEM
295,NÃO,,NAO,,,FALTA
297,NÃO,,NAO,,,FALTA
304,NÃO,,NOVA,150 KVA,17/03/2026,TEM
308,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
309,NÃO,,NAO,,,FALTA
310,NÃO,,NAO,,,FALTA
312,SIM,75 KVA,AUMENTO,225 KVA,,TEM
313,NÃO,,NOVA,225 KVA,17/03/2026,TEM
314,NÃO,,NOVA,150 KVA,17/03/2026,TEM
315,NÃO,,NOVA,150 KVA,17/03/2026,TEM
317,NÃO,,NAO,,,FALTA
319,NÃO,,NAO,,,FALTA
320,SIM,"112,5 KVA",AUMENTO,150 KVA,,TEM
321,NÃO,,NAO,,,FALTA
325,NÃO,,NAO,,,FALTA
326,NÃO,,NAO,,,FALTA
328,NÃO,,NAO,,,FALTA
331,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
333,NÃO,,NAO,,,FALTA
336,NÃO,,NOVA,150 KVA,17/03/2026,TEM
337,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
339,NÃO,,NAO,,,FALTA
340,NÃO,,NOVA,225 KVA,17/03/2026,TEM
342,NÃO,,NAO,,,FALTA
345,SIM,75 KVA,AUMENTO,225 KVA,,TEM
346,NÃO,,NAO,,,FALTA
349,NÃO,,NAO,,,TEM
351,NÃO,,NAO,,,FALTA
353,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
354,NÃO,,NAO,,,FALTA
357,NÃO,,NAO,,,FALTA
360,NÃO,,NAO,,,FALTA
362,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
366,NÃO,,NAO,,,FALTA
375,SIM,75 KVA,NAO,,,FALTA
376,NÃO,,NAO,,,FALTA
380,NÃO,,NAO,,,FALTA
394,NÃO,,NAO,,,TEM
396,NÃO,,NAO,,,TEM
398,NÃO,,NAO,,,FALTA
399,NÃO,,NAO,,,TEM
402,NÃO,,NAO,,,FALTA
403,NÃO,,NAO,,,TEM
409,NÃO,,NAO,,,TEM
421,NÃO,,NAO,,,FALTA
429,NÃO,,NAO,,,TEM
432,NÃO,,NAO,,,FALTA
433,NÃO,,NAO,,,TEM
434,NÃO,,NAO,,,TEM
437,NÃO,,NAO,,,TEM
442,NÃO,,NAO,,,FALTA
447,NÃO,,NAO,,,TEM
469,NÃO,,NAO,,,FALTA
471,NÃO,,NAO,,,FALTA
472,NÃO,,NAO,,,FALTA
474,NÃO,,NAO,,,FALTA
475,NÃO,,NAO,,,FALTA
477,NÃO,,NAO,,,FALTA
478,NÃO,,NAO,,,FALTA
481,NÃO,,NAO,,,TEM
482,NÃO,,NAO,,,FALTA
485,NÃO,,NAO,,,TEM
495,NÃO,,NAO,,,FALTA
496,NÃO,,NAO,,,FALTA
497,NÃO,,NAO,,,FALTA
505,NÃO,,NAO,,,FALTA
766,NÃO,,NAO,,,FALTA
779,NÃO,,NAO,,,TEM
787,NÃO,,NAO,,,FALTA
789,NÃO,,NAO,,,FALTA
791,NÃO,,NAO,,,FALTA
819,NÃO,,NAO,,,FALTA
874,NÃO,,NAO,,,FALTA
887,NÃO,,NAO,,,FALTA
888,NÃO,,NAO,,,FALTA
890,NÃO,,NAO,,,FALTA
891,NÃO,,NAO,,,FALTA
942,NÃO,,NAO,,,TEM
943,NÃO,,NAO,,,TEM
1168,NÃO,,NAO,,,FALTA
1289,NÃO,,NAO,,,FALTA
1293,NÃO,,NAO,,,FALTA
1363,NÃO,,NAO,,,FALTA
291,NÃO,,NOVA,150 KVA,17/03/2026,TEM
1320,SIM,,NAO,,,TEM
397,NÃO,,NAO,,,TEM
498,NÃO,,NAO,,,TEM
407,NÃO,,NAO,,,TEM
467,NÃO,,NAO,,,TEM
368,NÃO,,NAO,,,TEM
501,NÃO,,NAO,,,TEM
978,NÃO,,NAO,,,TEM
370,NÃO,,NAO,,,TEM
371,NÃO,,NAO,,,TEM
369,NÃO,,NAO,,,TEM
438,NÃO,,NAO,,,TEM
374,NÃO,,NAO,,,TEM
431,NÃO,,NAO,,,TEM
827,NÃO,,NAO,,,TEM
215,NÃO,,NAO,,,FALTA
387,NÃO,,NAO,,,TEM
851,NÃO,,NAO,,,TEM
946,NÃO,,NAO,,,TEM
977,NÃO,,NAO,,,TEM
281,NÃO,,NAO,,,TEM
781,NÃO,,NAO,,,TEM
788,NÃO,,NAO,,,TEM
767,NÃO,,NAO,,,TEM
140,NÃO,,NAO,,,TEM
338,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
859,NÃO,,NAO,,,TEM
235,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
404,NÃO,,NAO,,,TEM
835,NÃO,,NAO,,,TEM
341,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
183,NÃO,,NAO,,,TEM
861,NÃO,,NAO,,,TEM
89,SIM,"112,5 KVA",NAO,,,TEM
763,NÃO,,NAO,,,TEM
145,NÃO,,NAO,,,TEM
332,NÃO,,NAO,,,TEM
318,NÃO,,NAO,,,TEM
457,NÃO,,NAO,,,TEM
858,NÃO,,NAO,,,TEM
151,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
146,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
702,NÃO,,NAO,,,TEM
176,NÃO,,NAO,,,TEM
301,NÃO,,NAO,,,TEM
95,SIM,75 KVA,AUMENTO,"112,5 KVA",,TEM
602,NÃO,,NAO,,,TEM
305,NÃO,,NOVA,150 KVA,17/03/2026,TEM
186,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
211,NÃO,,NAO,,,TEM
283,NÃO,,NAO,,,TEM
857,NÃO,,NAO,,,TEM
88,NÃO,,NAO,,,TEM
372,NÃO,,NAO,,,TEM
293,SIM,75 KVA,AUMENTO,150 KVA,,TEM
210,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
242,NÃO,,NAO,,,TEM
97,NÃO,,NAO,,,TEM
415,NÃO,,NAO,,,TEM
195,SIM,75 KVA,AUMENTO,"112,5 KVA",,TEM
194,SIM,75 KVA,AUMENTO,"112,5 KVA",,TEM
365,SIM,75 KVA,AUMENTO,150 KVA,,TEM
228,NÃO,,NAO,,,TEM
334,SIM,"112,5 KVA",AUMENTO,150 KVA,,TEM
359,SIM,75 KVA,NOVA,225 KVA,17/03/2026,TEM
110,NÃO,,NAO,,,TEM
220,SIM,75 KVA,AUMENTO,"112,5 KVA",,TEM
112,SIM,150 KVA,NAO,,,TEM
113,SIM,75 KVA,AUMENTO,225 KVA,,TEM
85,NÃO,,NAO,,,TEM
488,NÃO,,NAO,,,TEM
100,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
162,NÃO,,NOVA,"112,5 KVA",17/03/2026,TEM
356,SIM,150 KVA,NAO,,,TEM
148,SIM,150 KVA,NAO,,,TEM
163,NÃO,,NAO,,,FALTA
